HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P
0.735,0.032634,0.189826,0.090789,0.045748,1606.5,1669.7,967.0,991.0,0.016405
0.482,0.013967,0.275783,0.196863,0.099942,1572.4,1646.4,509.0,1458.0,0.012471
0.453,0.101643,0.318848,0.109029,0.07940599999999999,1597.5,1673.0,784.0,1163.0,0.03377
0.402,0.023632,0.286114,0.151752,0.052508000000000006,1551.5,1676.5,867.0,1790.0,0.011933
0.775,0.024683,0.25508200000000003,0.182583,0.07966799999999999,1572.0,1654.9,673.0,1237.0,0.011555
0.647,0.029705,0.5443,0.292241,0.126585,1563.4,1642.9,389.0,1525.0,0.015566
0.457,0.005282,0.061481,0.05268,0.02818,1555.7,1647.7,1003.0,443.0,0.010452
0.471,0.066945,0.435458,0.14136300000000002,0.074722,1563.8,1653.7,875.0,1432.0,0.023396
0.3,0.022876,0.506016,0.066045,0.03509,1550.3,1657.8,762.0,1795.0,0.012525
0.544,0.049856,0.504452,0.155167,0.096138,1547.6,1640.4,472.0,1532.0,0.011818
0.316,0.083828,0.401772,0.14785,0.07395399999999999,1618.5,1677.0,816.0,1464.0,0.024524
0.259,0.074435,0.497099,0.190054,0.105896,1583.8,1656.2,627.0,1465.0,0.02526
0.38,0.070884,0.3358,0.122156,0.06997,1612.5,1664.5,566.0,1065.0,0.016637
0.809,0.066372,0.632545,0.12721500000000002,0.067594,1591.6,1682.4,929.0,1885.0,0.022226
0.194,0.042854,0.39608,0.211405,0.10704,1587.3,1648.8,415.0,1205.0,0.014577
0.364,0.046935,0.187864,0.200987,0.11556,1621.5,1674.1,511.0,806.0,0.020844
0.237,0.06275399999999999,0.47654,0.204665,0.092629,1574.3,1670.9,1014.0,1761.0,0.02437
0.229,0.128051,0.34483,0.201993,0.097707,1657.5,1694.6,538.0,1101.0,0.022633
0.407,0.025248,0.275546,0.093446,0.053059,1563.7,1666.0,839.0,1360.0,0.017124
0.4,0.012101,0.586063,0.136514,0.056270000000000014,1528.9,1636.2,520.0,2255.0,0.010535
0.419,0.052408,0.402297,0.136265,0.07055299999999999,1567.3,1635.1,898.0,1511.0,0.016908000000000003
0.483,0.088031,0.372046,0.173704,0.069113,1662.2,1692.1,679.0,1313.0,0.018293
0.7709999999999999,0.095324,0.7280479999999999,0.13023800000000002,0.088087,1580.1,1675.6,730.0,1673.0,0.024169
0.736,0.117544,0.466503,0.17332,0.064836,1598.5,1637.9,382.0,1494.0,0.010014
0.203,0.128566,0.450728,0.143341,0.078186,1600.6,1658.3,973.0,1324.0,0.043708
0.411,0.04579,0.24851,0.068495,0.025564,1571.6,1663.9,783.0,1593.0,0.012164
0.378,0.044174,0.6704180000000001,0.08772,0.048635000000000005,1501.8,1647.1,866.0,2463.0,0.013563999999999998
0.253,0.057065,0.5895199999999999,0.161512,0.077862,1568.2,1660.7,779.0,1812.0,0.017194
0.55,0.041511,0.259853,0.142354,0.06944299999999999,1631.7,1657.3,582.0,1025.0,0.012
0.399,0.030373,0.318266,0.17307999999999998,0.092525,1614.7,1681.5,493.0,1201.0,0.015780000000000002
0.395,0.037909,0.364282,0.130304,0.07625900000000001,1572.0,1654.8,64.0,1448.0,0.016807
0.8740000000000001,0.041418,0.447244,0.162397,0.061376,1557.5,1651.1,786.0,1690.0,0.011886
0.386,0.074637,0.052585,0.106727,0.06597599999999999,1533.3,1672.1,1256.0,402.0,0.009693
0.7340000000000001,0.108442,0.89369,0.114198,0.070505,1551.1,1680.2,786.0,2169.0,0.024657
0.479,0.056943,0.7666189999999999,0.158057,0.087661,1568.3,1648.4,495.0,1730.0,0.016977000000000003
1.168,0.018791,0.026161,0.071425,0.054661,1640.3,1683.9,498.0,1468.0,0.014066
1.027,0.054856,0.315512,0.039983,0.031381,1609.1,1671.2,681.0,1076.0,0.018598
0.329,0.038757,0.292056,0.141665,0.065177,1548.5,1649.1,605.0,1650.0,0.015064
1.153,0.069675,0.351149,0.163759,0.0953,1660.6,1683.0,798.0,1141.0,0.021348
0.389,0.057363,0.554017,0.108789,0.076959,1578.4,1638.3,438.0,1367.0,0.015555
0.54,0.022582,0.4511520000000001,0.174004,0.064361,1584.2,1620.4,696.0,1480.0,0.009158
0.289,0.085961,0.458713,0.197387,0.096987,1608.4,1693.0,697.0,89.0,0.019134
0.468,0.025787,0.439011,0.153576,0.07342699999999999,1565.4,1643.5,486.0,1555.0,0.012931
0.5539999999999999,0.046584,0.538399,0.17490799999999998,0.099628,1584.6,1670.8,764.0,1641.0,0.021838
0.292,0.14400000000000002,0.413532,0.19019,0.095344,1577.0,1621.7,506.0,1389.0,0.027249
0.7340000000000001,0.025728,0.277891,0.098398,0.06268,1579.9,1653.6,659.0,1404.0,0.011084
0.47,0.09655,0.332825,0.360823,0.15998900000000002,1634.4,1638.8,363.0,1022.0,0.023916
0.45,0.035333,0.289295,0.1186,0.06178,1592.4,1642.7,470.0,1072.0,0.014357
0.238,0.013182,0.306243,0.106252,0.06527100000000001,1674.7,1630.8,623.0,861.0,0.011043
0.17800000000000002,0.104006,0.695756,0.205514,0.11693900000000003,1558.3,1657.1,476.0,1926.0,0.022949
0.388,0.005697,0.247738,0.090902,0.048923,1529.8,1638.0,658.0,1707.0,0.00813
0.6920000000000001,0.088922,0.32303200000000004,0.111274,0.05198,1616.1,1661.2,759.0,1158.0,0.013882
0.623,0.06654,0.500125,0.17670999999999998,0.08816,1587.7,1666.9,638.0,2032.0,0.017133000000000002
0.102,0.030147000000000007,0.16162,0.198197,0.114314,1599.2,1656.3,567.0,916.0,0.0207
1.246,0.019952,0.339402,0.06796,0.06796,1592.1,1659.3,571.0,1186.0,0.019952
0.8540000000000001,0.081366,0.76627,0.13934100000000002,0.076588,1581.9,1649.1,417.0,1761.0,0.011766
0.556,0.062231,0.4764600000000001,0.096645,0.036937,1534.5,1652.1,778.0,1943.0,0.011586
0.482,0.028052,0.7212069999999999,0.117252,0.08762,1573.5,1650.0,298.0,1648.0,0.01838
0.638,0.06611,0.412915,0.113399,0.063321,1587.7,1675.6,789.0,1661.0,0.016988999999999997
